#Organism/Name,Kingdom,Group,SubGroup,Size (Mb),Chrs,Organelles,Plasmids,BioProjects
Escherichia phage bV_EcoS_AKS96,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.045746,1,-,-,1
Escherichia phage e11/2,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.16847,1,-,-,1
Escherichia phage e4/1c,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.047112,1,-,-,1
Escherichia phage phAPEC8,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.147737,1,-,-,1
Escherichia phage phiKT,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.042608,1,-,-,1
Escherichia phage phiV10,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.039104,1,-,-,1
Escherichia phage rv5,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.137947,1,-,-,1
Escherichia phage vB_EcoM-VpaE1,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.088403,1,-,-,1
Escherichia phage vB_EcoM-ep3,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.042351,1,-,-,1
Escherichia phage vB_EcoM_ECO1230-10,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.041666,1,-,-,1
Escherichia phage vB_EcoM_FFH2,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.13902,1,-,-,1
Escherichia phage vB_EcoM_JS09,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.169148,1,-,-,1
Escherichia phage vB_EcoM_PhAPEC2,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.167318,1,-,-,1
Escherichia phage vB_EcoP_G7C,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.072917,1,-,-,1
Escherichia phage vB_EcoP_PhAPEC5,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.071248,1,-,-,1
Escherichia phage vB_EcoP_PhAPEC7,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.071778,1,-,-,1
Escherichia phage vB_EcoS_FFH1,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.108483,1,-,-,1
Escherichia phage wV7,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.166452,1,-,-,1
Escherichia phage wV8,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.088487,1,-,-,1
Escherichia vulneris,Bacteria,Proteobacteria,Gammaproteobacteria,4.37458,-,-,-,1
Escovopsis weberi,Eukaryota,Fungi,Ascomycetes,27.2009,-,-,-,1
Esox lucius,Eukaryota,Animals,Fishes,904.453,25,1,-,1
Espirito Santo virus,Viruses,dsRNA viruses,Birnaviridae,0.006677,2,-,-,1
Etapapillomavirus 1,Viruses,"dsDNA viruses, no RNA stage",Papillomaviridae,0.007729,1,-,-,1
Ethanoligenens harbinense,Bacteria,Firmicutes,Clostridia,3.00858,1,-,-,1
Ethiopian tobacco bushy top virus,Viruses,ssRNA viruses,Tombusviridae,0.004236,1,-,-,1
Ethiopian tobacco bushy top virus satellite RNA,Viruses,Satellites,unclassified,0.000521,1,-,-,1
Eubacterium,Bacteria,Firmicutes,Clostridia,5.15619,-,-,-,26
Eubacterium acidaminophilum,Bacteria,Firmicutes,Clostridia,3.05504,1,-,1,1
Eubacterium brachy,Bacteria,Firmicutes,Clostridia,1.54452,-,-,-,1
Eubacterium desmolans,Bacteria,Firmicutes,Clostridia,2.6469,-,-,-,1
Eubacterium dolichum CAG:375,Bacteria,Firmicutes,Clostridia,2.0251,-,-,-,1
Eubacterium eligens CAG:72,Bacteria,Firmicutes,Clostridia,2.58543,-,-,-,1
Eubacterium hallii CAG:12,Bacteria,Firmicutes,Clostridia,2.72218,-,-,-,1
Eubacterium limosum,Bacteria,Firmicutes,Clostridia,4.37011,1,-,-,2
Eubacterium plexicaudatum,Bacteria,Firmicutes,Clostridia,6.50882,-,-,-,1
Eubacterium ramulus,Bacteria,Firmicutes,Clostridia,3.44714,-,-,-,1
Eubacterium rectale,Bacteria,Firmicutes,Clostridia,3.69842,1,-,-,3
Eubacterium rectale CAG:36,Bacteria,Firmicutes,Clostridia,2.75285,-,-,-,1
Eubacterium saphenum,Bacteria,Firmicutes,Clostridia,1.0849,-,-,-,1
Eubacterium siraeum CAG:80,Bacteria,Firmicutes,Clostridia,2.62353,-,-,-,1
Eubacterium ventriosum,Bacteria,Firmicutes,Clostridia,2.8708,-,-,-,1
Eubacterium xylanophilum,Bacteria,Firmicutes,Clostridia,2.57925,-,-,-,1
Eucalyptus camaldulensis,Eukaryota,Plants,Land Plants,478.318,-,1,-,1
Eucalyptus grandis,Eukaryota,Plants,Land Plants,691.43,-,1,-,1
Eucidaris tribuloides,Eukaryota,Animals,Other Animals,2187.26,-,-,-,1
Eudoraea adriatica,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.90647,-,-,-,1
Eulemur flavifrons,Eukaryota,Animals,Mammals,2115.57,-,-,-,1
Eulemur macaco,Eukaryota,Animals,Mammals,2119.88,-,-,-,1
Eupatorium vein clearing virus,Viruses,Retro-transcribing viruses,Caulimoviridae,0.008463,1,-,-,1
Eupatorium yellow vein betasatellite,Viruses,Satellites,unclassified,0.001356,1,-,-,1
Eupatorium yellow vein virus,Viruses,ssDNA viruses,Geminiviridae,0.002766,1,-,-,1
Euphorbia leaf curl virus,Viruses,ssDNA viruses,Geminiviridae,0.002746,1,-,-,1
Euphorbia mosaic virus,Viruses,ssDNA viruses,Geminiviridae,0.005215,2,-,-,1
Euphorbia yellow mosaic virus,Viruses,ssDNA viruses,Geminiviridae,0.005187,2,-,-,2
Euproctis pseudoconspersa nucleopolyhedrovirus,Viruses,"dsDNA viruses, no RNA stage",Baculoviridae,0.141291,1,-,-,1
Euprosterna elaeasa virus,Viruses,ssRNA viruses,Permutotetraviridae,0.005698,1,-,-,1
European bat lyssavirus 1,Viruses,ssRNA viruses,Rhabdoviridae,0.011966,1,-,-,1
European bat lyssavirus 2,Viruses,ssRNA viruses,Rhabdoviridae,0.01193,1,-,-,1
European brown hare syndrome virus,Viruses,ssRNA viruses,Caliciviridae,0.007442,1,-,-,1
European catfish virus,Viruses,"dsDNA viruses, no RNA stage",Iridoviridae,0.127732,1,-,-,1
European mountain ash ringspot-associated virus,Viruses,ssRNA viruses,unclassified,0.012282,4,-,-,1
Euryarchaeota archaeon SCGC AAA252-I15,Archaea,Euryarchaeota,unclassified Euryarchaeota,1.32568,-,-,-,1
Euryarchaeota archaeon SCGC AAA286-E23,Archaea,Euryarchaeota,unclassified Euryarchaeota,0.512945,-,-,-,1
Euryhalocaulis caribicus,Bacteria,Proteobacteria,Alphaproteobacteria,3.32309,-,-,-,1
Eurypyga helias,Eukaryota,Animals,Birds,1088.02,-,-,-,1
Eurytemora affinis,Eukaryota,Animals,Other Animals,494.891,-,-,-,1
Eutrema salsugineum,Eukaryota,Plants,Land Plants,243.11,7,-,-,2
Eutreta diana,Eukaryota,Animals,Insects,233.053,-,-,-,1
Eutypa lata,Eukaryota,Fungi,Ascomycetes,54.0058,-,-,-,1
Ewingella americana,Bacteria,Proteobacteria,Gammaproteobacteria,4.86781,-,-,-,1
Exiguobacterium,Bacteria,Firmicutes,Bacilli,3.33145,1,-,5,13
Exiguobacterium acetylicum,Bacteria,Firmicutes,Bacilli,3.27711,-,-,-,2
Exiguobacterium alkaliphilum,Bacteria,Firmicutes,Bacilli,3.10194,-,-,-,1
Exiguobacterium antarcticum,Bacteria,Firmicutes,Bacilli,3.21948,1,-,-,2
Exiguobacterium aurantiacum,Bacteria,Firmicutes,Bacilli,3.0376,-,-,-,1
Exiguobacterium marinum,Bacteria,Firmicutes,Bacilli,2.81402,-,-,-,1
Exiguobacterium mexicanum,Bacteria,Firmicutes,Bacilli,3.35929,-,-,-,1
Exiguobacterium oxidotolerans,Bacteria,Firmicutes,Bacilli,3.0894,-,-,-,1
Exiguobacterium pavilionensis,Bacteria,Firmicutes,Bacilli,3.0195,-,-,-,1
Exiguobacterium sibiricum,Bacteria,Firmicutes,Bacilli,3.08428,1,-,2,2
Exiguobacterium undae,Bacteria,Firmicutes,Bacilli,3.24611,-,-,-,2
Exophiala aquamarina,Eukaryota,Fungi,Ascomycetes,41.567,-,-,-,1
Exophiala dermatitidis,Eukaryota,Fungi,Ascomycetes,26.3768,-,1,-,1
Exophiala mesophila,Eukaryota,Fungi,Ascomycetes,30.3763,-,-,-,2
Exophiala oligosperma,Eukaryota,Fungi,Ascomycetes,38.2245,-,-,-,1
Exophiala sideris,Eukaryota,Fungi,Ascomycetes,29.5056,-,-,-,1
Exophiala spinifera,Eukaryota,Fungi,Ascomycetes,32.9123,-,-,-,1
Exophiala xenobiotica,Eukaryota,Fungi,Ascomycetes,32.2749,-,-,-,2
Eyach virus,Viruses,dsRNA viruses,Reoviridae,0.02921,12,-,-,1
Faba bean necrotic stunt alphasatellite 1,Viruses,Satellites,unclassified,0.001001,1,-,-,1
Faba bean necrotic stunt alphasatellite 2,Viruses,Satellites,unclassified,0.000995,1,-,-,1
Faba bean necrotic stunt virus,Viruses,ssDNA viruses,Nanoviridae,0.007907,8,-,-,1
Faba bean necrotic yellows C1 alphasatellite,Viruses,Satellites,unclassified,0.001002,1,-,-,1
Faba bean necrotic yellows C11 alphasatellite,Viruses,Satellites,unclassified,0.001004,1,-,-,1
Faba bean necrotic yellows C7 alphasatellite,Viruses,Satellites,unclassified,0.001015,1,-,-,1
Faba bean necrotic yellows C9 alphasatellite,Viruses,Satellites,unclassified,0.001007,1,-,-,1
Faba bean necrotic yellows virus,Viruses,ssDNA viruses,Nanoviridae,0.007993,8,-,-,1
Facklamia hominis,Bacteria,Firmicutes,Bacilli,1.95107,-,-,-,2
Facklamia ignava,Bacteria,Firmicutes,Bacilli,1.76667,-,-,-,1
Facklamia languida,Bacteria,Firmicutes,Bacilli,1.71777,-,-,-,1
Facklamia sourekii,Bacteria,Firmicutes,Bacilli,2.06704,-,-,-,1
Faecal-associated gemycircularvirus 10,Viruses,unclassified viruses,unclassified,0.002229,1,-,-,1
Faecal-associated gemycircularvirus 11,Viruses,unclassified viruses,unclassified,0.002159,1,-,-,1
Faecal-associated gemycircularvirus 12,Viruses,unclassified viruses,unclassified,0.002122,1,-,-,1
Faecal-associated gemycircularvirus 1a,Viruses,unclassified viruses,unclassified,0.002197,1,-,-,1
Faecal-associated gemycircularvirus 1b,Viruses,unclassified viruses,unclassified,0.00216,1,-,-,1
Faecal-associated gemycircularvirus 1c,Viruses,unclassified viruses,unclassified,0.002185,1,-,-,1
Faecal-associated gemycircularvirus 2,Viruses,unclassified viruses,unclassified,0.002175,1,-,-,1
Faecal-associated gemycircularvirus 3,Viruses,unclassified viruses,unclassified,0.002199,1,-,-,1
Faecal-associated gemycircularvirus 4,Viruses,unclassified viruses,unclassified,0.002224,1,-,-,1
Faecal-associated gemycircularvirus 5,Viruses,unclassified viruses,unclassified,0.002187,1,-,-,1
Faecal-associated gemycircularvirus 6,Viruses,unclassified viruses,unclassified,0.002288,1,-,-,1
Faecal-associated gemycircularvirus 7,Viruses,unclassified viruses,unclassified,0.00229,1,-,-,1
Faecal-associated gemycircularvirus 8,Viruses,unclassified viruses,unclassified,0.002174,1,-,-,1
Faecal-associated gemycircularvirus 9,Viruses,unclassified viruses,unclassified,0.00213,1,-,-,1
Faecalibacterium,Bacteria,Firmicutes,Clostridia,2.91596,-,-,-,3
Faecalibacterium prausnitzii,Bacteria,Firmicutes,Clostridia,3.32137,1,-,-,5
Faecalicoccus pleomorphus,Bacteria,Firmicutes,Erysipelotrichia,1.99264,-,-,-,1
Faecalitalea cylindroides,Bacteria,Firmicutes,Erysipelotrichia,1.96675,1,-,-,2
Fako virus,Viruses,dsRNA viruses,Reoviridae,0.02317,9,-,-,1
Falciphora oryzae,Eukaryota,Fungi,Ascomycetes,50.7794,-,-,-,1
Falco cherrug,Eukaryota,Animals,Birds,1174.81,-,1,-,1
Falco peregrinus,Eukaryota,Animals,Birds,1171.97,-,1,-,1
Falconid herpesvirus 1,Viruses,"dsDNA viruses, no RNA stage",Herpesviridae,0.204054,1,-,-,1
Falcovirus A1,Viruses,ssRNA viruses,Picornaviridae,0.008003,1,-,-,1
Falsirhodobacter,Bacteria,Proteobacteria,Alphaproteobacteria,2.95195,-,-,-,1
Fangia hongkongensis,Bacteria,Proteobacteria,Gammaproteobacteria,2.94674,-,-,-,1
Farfantepenaeus duorarum pink shrimp associated circular virus,Viruses,ssDNA viruses,Circoviridae,0.001799,1,-,-,1
Farmington virus,Viruses,ssRNA viruses,Rhabdoviridae,0.012233,1,-,-,1
Fasciola hepatica,Eukaryota,Animals,Flatworms,1275.11,-,1,-,2
Fathead minnow picornavirus,Viruses,ssRNA viruses,Picornaviridae,0.007934,1,-,-,1
Feldmannia species virus,Viruses,"dsDNA viruses, no RNA stage",Phycodnaviridae,0.154641,1,-,-,1
Felid herpesvirus 1,Viruses,"dsDNA viruses, no RNA stage",Herpesviridae,0.135797,1,-,-,1
Feline astrovirus 2,Viruses,ssRNA viruses,Astroviridae,0.006795,1,-,-,1
Feline astrovirus D1,Viruses,ssRNA viruses,Astroviridae,0.006598,1,-,-,1
Feline bocavirus,Viruses,ssDNA viruses,Parvoviridae,0.005331,1,-,-,1
Feline bocavirus 2,Viruses,ssDNA viruses,Parvoviridae,0.005479,1,-,-,1
Feline calicivirus,Viruses,ssRNA viruses,Caliciviridae,0.007683,1,-,-,1
Feline cyclovirus,Viruses,ssDNA viruses,Circoviridae,0.001773,1,-,-,1
Feline foamy virus,Viruses,Retro-transcribing viruses,Retroviridae,0.010479,1,-,-,1
Feline immunodeficiency virus,Viruses,Retro-transcribing viruses,Retroviridae,0.009474,1,-,-,1
Feline leukemia virus,Viruses,Retro-transcribing viruses,Retroviridae,0.008448,1,-,-,1
Feline morbillivirus,Viruses,ssRNA viruses,Paramyxoviridae,0.016004,1,-,-,1
Feline picornavirus,Viruses,ssRNA viruses,Picornaviridae,0.007391,1,-,-,1
Feline sakobuvirus A,Viruses,ssRNA viruses,Picornaviridae,0.007807,1,-,-,1
Felis catus,Eukaryota,Animals,Mammals,3160.29,19,1,-,2
Felis catus papillomavirus 3,Viruses,"dsDNA viruses, no RNA stage",Papillomaviridae,0.007583,1,-,-,1
Felis catus papillomavirus 4,Viruses,"dsDNA viruses, no RNA stage",Papillomaviridae,0.007616,1,-,-,1
Felis domesticus papillomavirus type 1,Viruses,"dsDNA viruses, no RNA stage",Papillomaviridae,0.0083,1,-,-,1
Fenneropenaeus chinensis hepandensovirus,Viruses,ssDNA viruses,Parvoviridae,0.006085,1,-,-,1
Fenollaria massiliensis,Bacteria,Firmicutes,Clostridia,1.70968,-,-,-,1
Fer-de-Lance paramyxovirus,Viruses,ssRNA viruses,Paramyxoviridae,0.015378,1,-,-,1
Ferret papillomavirus,Viruses,"dsDNA viruses, no RNA stage",Papillomaviridae,0.007985,1,-,-,1
Ferrimicrobium acidiphilum,Bacteria,Actinobacteria,Acidimicrobiia,3.08865,-,-,-,2
Ferrimonas balearica,Bacteria,Proteobacteria,Gammaproteobacteria,4.27916,1,-,-,2
Ferrimonas futtsuensis,Bacteria,Proteobacteria,Gammaproteobacteria,4.29603,-,-,-,1
Ferrimonas kyonanensis,Bacteria,Proteobacteria,Gammaproteobacteria,4.93096,-,-,-,1
Ferrimonas senticii,Bacteria,Proteobacteria,Gammaproteobacteria,3.88574,-,-,-,1
Ferriphaselus,Bacteria,Proteobacteria,Betaproteobacteria,2.4416,-,-,-,1
Ferriphaselus amnicola,Bacteria,Proteobacteria,Betaproteobacteria,2.685,-,-,-,1
Ferroglobus placidus,Archaea,Euryarchaeota,Archaeoglobi,2.19627,1,-,-,1
Ferroplasma,Archaea,Euryarchaeota,Thermoplasmata,2.48765,-,-,-,1
Ferroplasma acidarmanus,Archaea,Euryarchaeota,Thermoplasmata,1.93521,1,-,-,1
Ferrovum myxofaciens,Bacteria,Proteobacteria,Betaproteobacteria,2.70219,-,-,-,1
Fervidibacteria bacterium JGI 0000001-B9,Bacteria,unclassified Bacteria,Fervidibacteria,0.811947,-,-,-,1
Fervidibacteria bacterium JGI 0000001-D5,Bacteria,unclassified Bacteria,Fervidibacteria,0.586165,-,-,-,1
Fervidibacteria bacterium JGI 0000001-G10,Bacteria,unclassified Bacteria,Fervidibacteria,1.01389,-,-,-,1
Fervidibacteria bacterium JGI 0000054-H05,Bacteria,unclassified Bacteria,Fervidibacteria,0.289531,-,-,-,1
Fervidibacteria bacterium SCGC AAA471-D06,Bacteria,unclassified Bacteria,Fervidibacteria,2.09435,-,-,-,1
Fervidicella metallireducens,Bacteria,Firmicutes,Clostridia,2.89247,-,-,-,1
Fervidicoccus fontis,Archaea,Crenarchaeota,Thermoprotei,1.31921,1,-,-,1
Fervidobacterium islandicum,Bacteria,Thermotogae,Thermotogae,2.35975,-,-,-,1
Fervidobacterium nodosum,Bacteria,Thermotogae,Thermotogae,1.94894,1,-,-,1
Fervidobacterium pennivorans,Bacteria,Thermotogae,Thermotogae,2.16638,1,-,-,1
Fibrella aestuarina,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,6.93726,1,-,1,1
Fibrisoma limi,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,7.62697,-,-,3,1
Fibrobacter succinogenes,Bacteria,Fibrobacteres/Acidobacteria group,Fibrobacteres,3.843,1,-,-,2
Fibroporia radiculosa,Eukaryota,Fungi,Basidiomycetes,28.378,-,-,-,1
Ficedula albicollis,Eukaryota,Animals,Birds,1118.34,33,1,-,1
Fictibacillus gelatini,Bacteria,Firmicutes,Bacilli,4.17122,-,-,-,1
Fictibacillus macauensis,Bacteria,Firmicutes,Bacilli,3.73636,-,-,-,1
Fiddler Crab associated circular virus,Viruses,ssDNA viruses,Circoviridae,0.001635,1,-,-,1
Fig badnavirus 1,Viruses,Retro-transcribing viruses,Caulimoviridae,0.00714,1,-,-,1
Fig cryptic virus,Viruses,dsRNA viruses,Partitiviridae,0.003111,2,-,-,1
Fig fleck-associated virus,Viruses,ssRNA viruses,Tymoviridae,0.006704,1,-,-,1
Figwort mosaic virus,Viruses,Retro-transcribing viruses,Caulimoviridae,0.007743,1,-,-,1
Fiji disease virus,Viruses,dsRNA viruses,Reoviridae,0.029339,10,-,-,1
Fikirini bat rhabdovirus,Viruses,ssRNA viruses,Rhabdoviridae,0.011139,1,-,-,1
Filifactor alocis,Bacteria,Firmicutes,Clostridia,1.93101,1,-,-,1
Fimbriimonas ginsengisoli,Bacteria,Armatimonadetes,Fimbriimonadia,5.23176,1,-,-,1
Finch circovirus,Viruses,ssDNA viruses,Circoviridae,0.001962,1,-,-,1
Finch polyomavirus,Viruses,"dsDNA viruses, no RNA stage",Polyomaviridae,0.005278,1,-,-,1
Finegoldia magna,Bacteria,Firmicutes,Tissierellia,2.03272,1,-,1,6
Firmicutes bacterium ASF500,Bacteria,Firmicutes,unclassified Firmicutes sensu stricto,3.70457,-,-,-,1
Firmicutes bacterium CAG:102,Bacteria,Firmicutes,environmental samples,2.09004,-,-,-,1
Firmicutes bacterium CAG:103,Bacteria,Firmicutes,environmental samples,1.8789,-,-,-,1
Firmicutes bacterium CAG:110,Bacteria,Firmicutes,environmental samples,2.50291,-,-,-,1
Firmicutes bacterium CAG:114,Bacteria,Firmicutes,environmental samples,2.3397,-,-,-,1
Firmicutes bacterium CAG:124,Bacteria,Firmicutes,environmental samples,2.53891,-,-,-,1
Firmicutes bacterium CAG:129,Bacteria,Firmicutes,environmental samples,1.76213,-,-,-,1
Firmicutes bacterium CAG:137,Bacteria,Firmicutes,environmental samples,2.7525,-,-,-,1
Firmicutes bacterium CAG:145,Bacteria,Firmicutes,environmental samples,2.06605,-,-,-,1
Firmicutes bacterium CAG:170,Bacteria,Firmicutes,environmental samples,2.46017,-,-,-,1
Firmicutes bacterium CAG:176,Bacteria,Firmicutes,environmental samples,1.5914,-,-,-,1
Firmicutes bacterium CAG:194,Bacteria,Firmicutes,environmental samples,2.59141,-,-,-,1
Firmicutes bacterium CAG:212,Bacteria,Firmicutes,environmental samples,2.36356,-,-,-,1
Firmicutes bacterium CAG:227,Bacteria,Firmicutes,environmental samples,2.69151,-,-,-,1
Firmicutes bacterium CAG:238,Bacteria,Firmicutes,environmental samples,2.11826,-,-,-,1
Firmicutes bacterium CAG:24,Bacteria,Firmicutes,environmental samples,2.83098,-,-,-,1
Firmicutes bacterium CAG:240,Bacteria,Firmicutes,environmental samples,1.97356,-,-,-,1
Firmicutes bacterium CAG:270,Bacteria,Firmicutes,environmental samples,1.77663,-,-,-,1
Firmicutes bacterium CAG:272,Bacteria,Firmicutes,environmental samples,2.51115,-,-,-,1
Firmicutes bacterium CAG:308,Bacteria,Firmicutes,environmental samples,1.72,-,-,-,1
Firmicutes bacterium CAG:313,Bacteria,Firmicutes,environmental samples,1.48938,-,-,-,1
Firmicutes bacterium CAG:321,Bacteria,Firmicutes,environmental samples,1.21483,-,-,-,1
Firmicutes bacterium CAG:341,Bacteria,Firmicutes,environmental samples,1.73717,-,-,-,1
Firmicutes bacterium CAG:345,Bacteria,Firmicutes,environmental samples,1.6342,-,-,-,1
Firmicutes bacterium CAG:41,Bacteria,Firmicutes,environmental samples,2.75755,-,-,-,1
Firmicutes bacterium CAG:424,Bacteria,Firmicutes,environmental samples,3.02069,-,-,-,1
Firmicutes bacterium CAG:449,Bacteria,Firmicutes,environmental samples,1.96827,-,-,-,1
Firmicutes bacterium CAG:460,Bacteria,Firmicutes,environmental samples,1.10247,-,-,-,1
Firmicutes bacterium CAG:466,Bacteria,Firmicutes,environmental samples,2.69553,-,-,-,1
Firmicutes bacterium CAG:475,Bacteria,Firmicutes,environmental samples,1.49586,-,-,-,1
Firmicutes bacterium CAG:534,Bacteria,Firmicutes,environmental samples,2.68237,-,-,-,1
Firmicutes bacterium CAG:536,Bacteria,Firmicutes,environmental samples,1.6577,-,-,-,1
Firmicutes bacterium CAG:552,Bacteria,Firmicutes,environmental samples,1.35693,-,-,-,1
Firmicutes bacterium CAG:555,Bacteria,Firmicutes,environmental samples,1.77644,-,-,-,1
Firmicutes bacterium CAG:56,Bacteria,Firmicutes,environmental samples,2.5825,-,-,-,1
Firmicutes bacterium CAG:582,Bacteria,Firmicutes,environmental samples,1.28811,-,-,-,1
Firmicutes bacterium CAG:631,Bacteria,Firmicutes,environmental samples,1.45618,-,-,-,1
Firmicutes bacterium CAG:646,Bacteria,Firmicutes,environmental samples,2.88116,-,-,-,1
Firmicutes bacterium CAG:65,Bacteria,Firmicutes,environmental samples,2.78589,-,-,-,1
Firmicutes bacterium CAG:791,Bacteria,Firmicutes,environmental samples,2.43531,-,-,-,1
Firmicutes bacterium CAG:822,Bacteria,Firmicutes,environmental samples,1.34441,-,-,-,1
Firmicutes bacterium CAG:83,Bacteria,Firmicutes,environmental samples,1.86694,-,-,-,1
Firmicutes bacterium CAG:882,Bacteria,Firmicutes,environmental samples,2.91581,-,-,-,1
Firmicutes bacterium CAG:884,Bacteria,Firmicutes,environmental samples,1.20844,-,-,-,1
Firmicutes bacterium CAG:94,Bacteria,Firmicutes,environmental samples,2.55062,-,-,-,1
Firmicutes bacterium CAG:95,Bacteria,Firmicutes,environmental samples,3.08932,-,-,-,1
Firmicutes bacterium JGI 0000112-H15,Bacteria,Firmicutes,unclassified Firmicutes sensu stricto,0.554853,-,-,-,1
Firmicutes bacterium JGI 0000112-J22,Bacteria,Firmicutes,unclassified Firmicutes sensu stricto,1.3698,-,-,-,1
Firmicutes bacterium JGI 0000112-L22,Bacteria,Firmicutes,unclassified Firmicutes sensu stricto,0.237125,-,-,-,1
Firmicutes bacterium JGI 0000112-M16,Bacteria,Firmicutes,unclassified Firmicutes sensu stricto,1.15866,-,-,-,1
Firmicutes bacterium JGI 0000112-P22,Bacteria,Firmicutes,unclassified Firmicutes sensu stricto,1.17147,-,-,-,1
Firmicutes bacterium JGI 0000119-C08,Bacteria,Firmicutes,unclassified Firmicutes sensu stricto,0.301848,-,-,-,1
Firmicutes bacterium JGI 0000119-P10,Bacteria,Firmicutes,unclassified Firmicutes sensu stricto,0.307136,-,-,-,1
Firmicutes bacterium M10-2,Bacteria,Firmicutes,unclassified Firmicutes sensu stricto,2.40752,-,-,-,1
Firmicutes bacterium ZOR0006,Bacteria,Firmicutes,unclassified Firmicutes sensu stricto,1.96715,-,-,-,1
Fisavirus 1,Viruses,ssRNA viruses,unclassified,0.008712,1,-,-,1
Fischerella,Bacteria,Cyanobacteria,Stigonematales,8.07918,-,-,-,4
Fischerella muscicola,Bacteria,Cyanobacteria,Stigonematales,7.36026,-,-,-,2
Fischerella thermalis,Bacteria,Cyanobacteria,Stigonematales,5.43827,-,-,-,1
Fistulina hepatica,Eukaryota,Fungi,Basidiomycetes,33.8478,-,-,-,1
Flammeovirga,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,8.0655,-,-,-,1
Flammeovirga pacifica,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,6.50736,-,-,-,1
Flammeovirgaceae bacterium 311,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,6.66562,1,-,-,1
Flammulina velutipes,Eukaryota,Fungi,Basidiomycetes,35.6425,11,1,-,1
Flaviflexus,Bacteria,Actinobacteria,Actinobacteria,-,-,-,-,-
Flavihumibacter,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,4.18363,-,-,-,1
Flavihumibacter petaseus,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,5.69352,-,-,-,1
Flavihumibacter solisilvae,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,5.41066,-,-,-,1
Flaviramulus ichthyoenteri,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.95323,-,-,-,1
Flavobacteria bacterium BAL38,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,2.80699,-,-,-,1
Flavobacteria bacterium BBFL7,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.10342,-,-,-,1
Flavobacteria bacterium MS024-2A,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,1.90548,-,-,-,1
Flavobacteria bacterium MS024-3C,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,1.51525,-,-,-,1
Flavobacteriaceae bacterium 3519-10,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,2.7681,1,-,-,1
Flavobacteriaceae bacterium ASP10-09a,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,2.37156,-,-,-,1
Flavobacteriaceae bacterium HQM9,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,4.07388,-,-,-,1
Flavobacteriaceae bacterium S85,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.38463,-,-,-,1
Flavobacteriales bacterium ALC-1,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.82571,-,-,-,1
Flavobacteriales bacterium BRH_c54,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,2.91745,-,-,-,1
Flavobacterium,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,5.74711,-,-,1,22
Flavobacterium akiainvivens,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,4.53302,-,-,-,1
Flavobacterium antarcticum,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.07904,-,-,-,1
Flavobacterium aquatile,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.49086,-,-,-,1
Flavobacterium beibuense,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.80076,-,-,-,1
Flavobacterium branchiophilum,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.56329,1,-,1,1
